timestamp_sec,datetime,event_type,source,param1,param2,param3,param4,notes
4.119596,2025-12-15 18:42:00.133,INFO,SYSTEM,,,,,GUI started successfully
4.127569,2025-12-15 18:42:00.141,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.127863,2025-12-15 18:42:00.141,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.128009,2025-12-15 18:42:00.141,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.137802,2025-12-15 18:42:00.151,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.159479,2025-12-15 18:42:00.173,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.159842,2025-12-15 18:42:00.173,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.161333,2025-12-15 18:42:00.174,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.233953,2025-12-15 18:42:00.247,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.267581,2025-12-15 18:42:00.281,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.367607,2025-12-15 18:42:00.381,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.467835,2025-12-15 18:42:00.481,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.553820,2025-12-15 18:42:00.567,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
4.554832,2025-12-15 18:42:00.568,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
4.567584,2025-12-15 18:42:00.581,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.667600,2025-12-15 18:42:00.681,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.767954,2025-12-15 18:42:00.781,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.867557,2025-12-15 18:42:00.881,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
4.967764,2025-12-15 18:42:00.981,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
5.067752,2025-12-15 18:42:01.081,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
5.085183,2025-12-15 18:42:01.098,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
5.086147,2025-12-15 18:42:01.099,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
5.167995,2025-12-15 18:42:01.181,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
5.267961,2025-12-15 18:42:01.281,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
5.368029,2025-12-15 18:42:01.381,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
5.467503,2025-12-15 18:42:01.481,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
5.567912,2025-12-15 18:42:01.581,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
5.616504,2025-12-15 18:42:01.630,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
5.617435,2025-12-15 18:42:01.631,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
5.667949,2025-12-15 18:42:01.681,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
5.767561,2025-12-15 18:42:01.781,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
5.867685,2025-12-15 18:42:01.881,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
5.968254,2025-12-15 18:42:01.981,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
6.067509,2025-12-15 18:42:02.081,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
6.133760,2025-12-15 18:42:02.147,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
6.134745,2025-12-15 18:42:02.148,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
6.167713,2025-12-15 18:42:02.181,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
6.268033,2025-12-15 18:42:02.281,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
6.367635,2025-12-15 18:42:02.381,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
6.467586,2025-12-15 18:42:02.481,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
6.567696,2025-12-15 18:42:02.581,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
6.665498,2025-12-15 18:42:02.679,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
6.666575,2025-12-15 18:42:02.680,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
6.667835,2025-12-15 18:42:02.681,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
6.767685,2025-12-15 18:42:02.781,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
6.868142,2025-12-15 18:42:02.881,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
6.967983,2025-12-15 18:42:02.981,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
7.068007,2025-12-15 18:42:03.081,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
7.168528,2025-12-15 18:42:03.182,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
7.194109,2025-12-15 18:42:03.207,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
7.195101,2025-12-15 18:42:03.208,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
7.267622,2025-12-15 18:42:03.281,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
7.367650,2025-12-15 18:42:03.381,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
7.467731,2025-12-15 18:42:03.481,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
7.568059,2025-12-15 18:42:03.581,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
7.669972,2025-12-15 18:42:03.683,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
7.722890,2025-12-15 18:42:03.736,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
7.725739,2025-12-15 18:42:03.739,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
7.768020,2025-12-15 18:42:03.781,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
7.867654,2025-12-15 18:42:03.881,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
7.968000,2025-12-15 18:42:03.981,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
8.068160,2025-12-15 18:42:04.081,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
8.167927,2025-12-15 18:42:04.181,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
8.251257,2025-12-15 18:42:04.264,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
8.252442,2025-12-15 18:42:04.266,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
8.267577,2025-12-15 18:42:04.281,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
8.367521,2025-12-15 18:42:04.381,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
8.467732,2025-12-15 18:42:04.481,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
8.567638,2025-12-15 18:42:04.581,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
8.670121,2025-12-15 18:42:04.683,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
8.767610,2025-12-15 18:42:04.781,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
8.769374,2025-12-15 18:42:04.783,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
8.770214,2025-12-15 18:42:04.783,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
9.730070,2025-12-15 18:42:05.743,BNC575_PULSE,BNC575,INTERNAL,,,,INTERNAL
9.732283,2025-12-15 18:42:05.745,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
9.735296,2025-12-15 18:42:05.748,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
9.737048,2025-12-15 18:42:05.750,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
9.738320,2025-12-15 18:42:05.751,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
9.739382,2025-12-15 18:42:05.753,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
9.740597,2025-12-15 18:42:05.754,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
9.741034,2025-12-15 18:42:05.754,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
9.742245,2025-12-15 18:42:05.755,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
9.742658,2025-12-15 18:42:05.756,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
9.743972,2025-12-15 18:42:05.757,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
9.744282,2025-12-15 18:42:05.757,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
9.745209,2025-12-15 18:42:05.758,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
9.767797,2025-12-15 18:42:05.781,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
9.867694,2025-12-15 18:42:05.881,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
9.967727,2025-12-15 18:42:05.981,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
9.975967,2025-12-15 18:42:05.989,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
10.067688,2025-12-15 18:42:06.081,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
10.070707,2025-12-15 18:42:06.084,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
10.140279,2025-12-15 18:42:06.153,SCOPE_CAPTURE,Rigol2,2,1000,1000,,"Rigol #2 captured (CH1:1000 pts, CH2:1000 pts)"
10.167861,2025-12-15 18:42:06.181,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
10.267843,2025-12-15 18:42:06.281,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
10.367920,2025-12-15 18:42:06.381,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
10.467983,2025-12-15 18:42:06.481,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
10.503850,2025-12-15 18:42:06.517,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
10.567651,2025-12-15 18:42:06.581,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
10.598230,2025-12-15 18:42:06.611,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
10.667625,2025-12-15 18:42:06.681,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
10.767711,2025-12-15 18:42:06.781,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
10.868085,2025-12-15 18:42:06.881,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
10.967936,2025-12-15 18:42:06.981,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
11.035739,2025-12-15 18:42:07.049,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
11.067660,2025-12-15 18:42:07.081,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
11.131608,2025-12-15 18:42:07.145,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
11.167566,2025-12-15 18:42:07.181,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
11.267931,2025-12-15 18:42:07.281,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
11.367947,2025-12-15 18:42:07.381,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
11.467745,2025-12-15 18:42:07.481,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
11.568042,2025-12-15 18:42:07.581,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
11.573293,2025-12-15 18:42:07.586,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
11.664744,2025-12-15 18:42:07.678,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
11.669712,2025-12-15 18:42:07.683,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
11.768013,2025-12-15 18:42:07.781,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
11.867933,2025-12-15 18:42:07.881,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
11.968154,2025-12-15 18:42:07.981,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
12.067659,2025-12-15 18:42:08.081,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
12.100886,2025-12-15 18:42:08.114,WJ_VOLTAGE,WJ1,0.000,0.000,0,0,"HV=OFF, Fault=NO"
12.168103,2025-12-15 18:42:08.181,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
12.193412,2025-12-15 18:42:08.207,WJ_VOLTAGE,WJ2,0.000,0.000,0,0,"HV=OFF, Fault=NO"
12.267732,2025-12-15 18:42:08.281,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
12.367614,2025-12-15 18:42:08.381,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
12.467855,2025-12-15 18:42:08.481,ARDUINO_PSI,Arduino,0.000,0.000,0.000,,
