timestamp_sec,datetime,event_type,source,param1,param2,param3,param4,notes
4.560581,2025-12-09 11:10:44.809,INFO,SYSTEM,,,,,GUI started successfully
18.448287,2025-12-09 11:10:58.696,ARDUINO_PSI,Arduino,3.563,3.175,2.612,,
18.542186,2025-12-09 11:10:58.790,ARDUINO_PSI,Arduino,3.975,2.825,2.612,,
18.642076,2025-12-09 11:10:58.890,ARDUINO_PSI,Arduino,4.050,2.725,1.900,,
18.742107,2025-12-09 11:10:58.990,ARDUINO_PSI,Arduino,3.412,3.200,2.925,,
18.842601,2025-12-09 11:10:59.091,ARDUINO_PSI,Arduino,3.387,3.050,2.587,,
18.941917,2025-12-09 11:10:59.190,ARDUINO_PSI,Arduino,3.912,3.150,2.938,,
19.042041,2025-12-09 11:10:59.290,ARDUINO_PSI,Arduino,4.225,3.125,2.012,,
19.141941,2025-12-09 11:10:59.390,ARDUINO_PSI,Arduino,4.625,2.338,1.925,,
19.242028,2025-12-09 11:10:59.490,ARDUINO_PSI,Arduino,4.238,3.450,1.975,,
19.342040,2025-12-09 11:10:59.590,ARDUINO_PSI,Arduino,3.638,2.838,2.212,,
19.441637,2025-12-09 11:10:59.690,ARDUINO_PSI,Arduino,3.812,3.087,2.312,,
19.542085,2025-12-09 11:10:59.790,ARDUINO_PSI,Arduino,3.925,3.563,2.725,,
19.642062,2025-12-09 11:10:59.890,ARDUINO_PSI,Arduino,3.975,3.450,2.863,,
19.742197,2025-12-09 11:10:59.990,ARDUINO_PSI,Arduino,4.112,3.038,2.275,,
19.841830,2025-12-09 11:11:00.090,ARDUINO_PSI,Arduino,3.850,3.125,1.800,,
19.941806,2025-12-09 11:11:00.190,ARDUINO_PSI,Arduino,4.375,3.512,2.350,,
20.042320,2025-12-09 11:11:00.290,ARDUINO_PSI,Arduino,3.975,3.450,2.138,,
20.142377,2025-12-09 11:11:00.390,ARDUINO_PSI,Arduino,3.925,3.000,2.050,,
20.242079,2025-12-09 11:11:00.490,ARDUINO_PSI,Arduino,3.600,3.538,2.125,,
20.342646,2025-12-09 11:11:00.591,ARDUINO_PSI,Arduino,3.875,3.412,2.375,,
20.441744,2025-12-09 11:11:00.690,ARDUINO_PSI,Arduino,3.963,3.638,2.875,,
20.541950,2025-12-09 11:11:00.790,ARDUINO_PSI,Arduino,3.925,3.287,2.200,,
20.642500,2025-12-09 11:11:00.890,ARDUINO_PSI,Arduino,4.075,3.575,1.987,,
20.741885,2025-12-09 11:11:00.990,ARDUINO_PSI,Arduino,4.212,3.150,2.325,,
20.842032,2025-12-09 11:11:01.090,ARDUINO_PSI,Arduino,4.650,3.638,2.700,,
20.942391,2025-12-09 11:11:01.190,ARDUINO_PSI,Arduino,3.975,3.312,2.112,,
21.041668,2025-12-09 11:11:01.290,ARDUINO_PSI,Arduino,3.138,3.175,1.787,,
21.141801,2025-12-09 11:11:01.390,ARDUINO_PSI,Arduino,3.825,2.950,2.063,,
21.242135,2025-12-09 11:11:01.490,ARDUINO_PSI,Arduino,3.812,3.550,2.325,,
21.341972,2025-12-09 11:11:01.590,ARDUINO_PSI,Arduino,4.087,2.912,2.638,,
21.441925,2025-12-09 11:11:01.690,ARDUINO_PSI,Arduino,3.938,3.212,2.463,,
21.541998,2025-12-09 11:11:01.790,ARDUINO_PSI,Arduino,3.925,2.912,1.875,,
21.641749,2025-12-09 11:11:01.890,ARDUINO_PSI,Arduino,4.238,3.463,2.187,,
21.741851,2025-12-09 11:11:01.990,ARDUINO_PSI,Arduino,3.338,3.150,2.387,,
21.841888,2025-12-09 11:11:02.090,ARDUINO_PSI,Arduino,4.225,3.338,2.225,,
21.944054,2025-12-09 11:11:02.192,ARDUINO_PSI,Arduino,3.687,2.975,2.687,,
22.041683,2025-12-09 11:11:02.290,ARDUINO_PSI,Arduino,4.250,3.375,2.263,,
