time_s,ch1_v,ch2_v
-8.8e-05,0.0,0.0
-8.782399999999999e-05,-0.45886,0.46316
-8.7648e-05,0.22943,-0.23158
-8.747199999999999e-05,-0.45886,0.46316
-8.7296e-05,0.22943,-0.23158
-8.711999999999999e-05,-0.45886,0.46316
-8.6944e-05,-0.22943,-0.23158
-8.6768e-05,0.22943,0.46316
-8.6592e-05,0.22943,-0.23158
-8.6416e-05,-0.45886,0.46316
-8.624e-05,-0.22943,0.23158
-8.6064e-05,0.22943,-0.23158
-8.5888e-05,0.22943,-0.23158
-8.5712e-05,-0.45886,0.46316
-8.5536e-05,0.22943,0.46316
-8.536e-05,-0.45886,-0.23158
-8.5184e-05,0.22943,0.23158
-8.5008e-05,-0.45886,-0.23158
-8.4832e-05,-0.22943,-0.23158
-8.4656e-05,0.22943,0.46316
-8.448e-05,0.22943,0.46316
-8.4304e-05,-0.45886,-0.23158
-8.412799999999999e-05,0.22943,-0.23158
-8.3952e-05,-0.45886,0.46316
-8.377599999999999e-05,-0.22943,-0.23158
-8.36e-05,0.22943,0.46316
-8.342399999999999e-05,0.22943,0.23158
-8.3248e-05,-0.45886,-0.23158
-8.3072e-05,0.22943,-0.23158
-8.2896e-05,-0.45886,0.46316
-8.272e-05,0.22943,-0.23158
-8.2544e-05,-0.45886,0.46316
-8.2368e-05,-0.22943,-0.23158
-8.2192e-05,0.22943,0.46316
-8.2016e-05,-0.22943,0.23158
-8.184e-05,0.22943,-0.23158
-8.1664e-05,0.22943,-0.23158
-8.1488e-05,-0.45886,0.46316
-8.1312e-05,-0.22943,-0.23158
-8.1136e-05,0.22943,0.46316
-8.096e-05,-0.22943,-0.23158
-8.0784e-05,0.22943,0.46316
-8.0608e-05,0.22943,0.23158
-8.043199999999999e-05,-0.45886,-0.23158
-8.0256e-05,0.22943,0.23158
-8.008e-05,-0.45886,-0.23158
-7.9904e-05,0.22943,0.46316
-7.972799999999999e-05,-0.45886,-0.23158
-7.9552e-05,-0.22943,-0.23158
-7.9376e-05,0.22943,0.23158
-7.92e-05,-0.22943,0.23158
-7.9024e-05,0.22943,-0.23158
-7.8848e-05,0.22943,0.23158
-7.8672e-05,-0.45886,-0.23158
-7.8496e-05,-0.45886,-0.23158
-7.832e-05,0.22943,0.46316
-7.8144e-05,0.22943,-0.23158
-7.7968e-05,-0.45886,0.23158
-7.7792e-05,0.22943,-0.23158
-7.7616e-05,-0.45886,0.46316
-7.744e-05,0.22943,-0.23158
-7.7264e-05,-0.45886,0.46316
-7.7088e-05,0.22943,-0.23158
-7.6912e-05,-0.45886,0.46316
-7.673599999999999e-05,-0.22943,-0.23158
-7.656e-05,0.22943,0.46316
-7.6384e-05,0.22943,-0.23158
-7.6208e-05,-0.45886,0.46316
-7.603199999999999e-05,0.22943,0.23158
-7.5856e-05,-0.45886,-0.23158
-7.568e-05,0.22943,0.46316
-7.5504e-05,-0.45886,-0.23158
-7.5328e-05,0.22943,-0.23158
-7.5152e-05,-0.45886,0.46316
-7.4976e-05,0.22943,0.46316
-7.48e-05,-0.45886,-0.23158
-7.4624e-05,0.22943,0.23158
-7.4448e-05,-0.45886,-0.23158
-7.4272e-05,-0.45886,-0.23158
-7.4096e-05,0.22943,0.46316
-7.392e-05,0.22943,0.23158
-7.3744e-05,-0.45886,-0.23158
-7.3568e-05,0.22943,-0.23158
-7.3392e-05,-0.45886,0.46316
-7.3216e-05,0.22943,0.46316
-7.303999999999999e-05,-0.45886,-0.23158
-7.2864e-05,-0.45886,0.23158
-7.2688e-05,0.22943,-0.23158
-7.2512e-05,-0.45886,0.23158
-7.233599999999999e-05,0.22943,-0.23158
-7.216e-05,-0.45886,-0.23158
-7.1984e-05,0.22943,0.46316
-7.1808e-05,0.22943,0.46316
-7.1632e-05,-0.45886,-0.23158
-7.1456e-05,0.22943,-0.23158
-7.128e-05,-0.45886,0.46316
-7.1104e-05,-0.45886,-0.23158
-7.0928e-05,0.22943,0.23158
-7.0752e-05,0.22943,0.23158
-7.0576e-05,-0.45886,-0.23158
-7.04e-05,0.22943,-0.23158
-7.0224e-05,-0.45886,0.46316
-7.004799999999999e-05,0.22943,-0.23158
-6.9872e-05,-0.45886,0.46316
-6.9696e-05,-0.45886,-0.23158
-6.952e-05,0.22943,0.46316
-6.934399999999999e-05,-0.45886,-0.23158
-6.9168e-05,0.22943,0.46316
-6.8992e-05,0.22943,-0.23158
-6.8816e-05,-0.45886,0.46316
-6.864e-05,0.22943,0.23158
-6.8464e-05,-0.45886,-0.23158
-6.828800000000001e-05,-0.45886,0.23158
-6.8112e-05,0.22943,-0.23158
-6.7936e-05,0.22943,-0.23158
-6.776e-05,-0.45886,0.46316
-6.7584e-05,0.22943,-0.46316
-6.7408e-05,-0.45886,0.46316
-6.7232e-05,0.22943,-0.23158
-6.7056e-05,-0.45886,0.46316
-6.688e-05,0.22943,0.23158
-6.6704e-05,-0.45886,-0.23158
-6.6528e-05,0.22943,0.23158
-6.635199999999999e-05,-0.45886,-0.46316
-6.6176e-05,-0.45886,0.23158
-6.6e-05,0.22943,-0.23158
-6.5824e-05,0.22943,0.23158
-6.564799999999999e-05,-0.45886,-0.23158
-6.5472e-05,0.22943,0.23158
-6.5296e-05,-0.45886,-0.23158
-6.512e-05,0.22943,-0.23158
-6.4944e-05,-0.45886,0.46316
-6.4768e-05,-0.45886,0.23158
-6.459200000000001e-05,0.22943,-0.23158
-6.4416e-05,0.22943,-0.23158
-6.424e-05,-0.45886,0.46316
-6.4064e-05,0.22943,-0.23158
-6.3888e-05,-0.45886,0.46316
-6.3712e-05,0.22943,-0.23158
-6.3536e-05,-0.45886,0.23158
-6.336e-05,0.22943,-0.23158
-6.3184e-05,-0.45886,0.46316
-6.3008e-05,0.22943,0.23158
