time_s,ch1_v,ch2_v,ch3_v,ch4_v
-0.0001,0.0,0.0,0.0,0.0
-9.9998e-05,0.0,0.0,859.79,0.0
-9.999600000000001e-05,8892.1,2.3158,859.79,0.0
-9.9994e-05,0.0,0.0,0.0,0.0
-9.9992e-05,0.0,0.0,0.0,0.0
-9.999000000000001e-05,0.0,0.0,0.0,0.0
-9.9988e-05,0.0,2.3158,0.0,0.0
-9.9986e-05,0.0,0.0,859.79,0.0
-9.998400000000001e-05,0.0,2.3158,0.0,0.0
-9.9982e-05,0.0,0.0,0.0,-0.27181
-9.998e-05,0.0,0.0,0.0,0.0
-9.997800000000001e-05,0.0,0.0,0.0,0.0
-9.9976e-05,-8892.1,0.0,859.79,0.0
-9.9974e-05,0.0,0.0,859.79,0.0
-9.997200000000001e-05,0.0,0.0,859.79,-0.27181
-9.997e-05,0.0,0.0,1719.58,-0.27181
-9.9968e-05,0.0,0.0,859.79,0.0
-9.996600000000001e-05,-8892.1,0.0,0.0,0.27181
-9.996400000000001e-05,0.0,0.0,0.0,0.0
-9.9962e-05,0.0,-2.3158,859.79,0.0
-9.996e-05,8892.1,0.0,0.0,-0.27181
-9.995800000000001e-05,0.0,0.0,859.79,-0.27181
-9.9956e-05,0.0,0.0,859.79,0.0
-9.9954e-05,-8892.1,2.3158,0.0,0.0
-9.995200000000001e-05,0.0,0.0,0.0,0.0
-9.995e-05,0.0,0.0,0.0,0.0
-9.9948e-05,-8892.1,0.0,0.0,0.0
-9.994600000000001e-05,0.0,0.0,0.0,0.0
-9.9944e-05,0.0,0.0,0.0,0.0
-9.9942e-05,-8892.1,0.0,859.79,0.0
-9.994000000000001e-05,0.0,2.3158,0.0,-0.27181
-9.9938e-05,0.0,2.3158,0.0,-0.27181
-9.9936e-05,0.0,0.0,859.79,0.0
-9.993400000000001e-05,-8892.1,0.0,0.0,0.0
-9.9932e-05,-8892.1,2.3158,859.79,-0.27181
-9.993e-05,0.0,-2.3158,0.0,0.0
-9.992800000000001e-05,0.0,0.0,0.0,-0.27181
-9.9926e-05,0.0,0.0,859.79,-0.27181
-9.9924e-05,0.0,0.0,859.79,-0.27181
-9.992200000000001e-05,0.0,0.0,0.0,-0.27181
-9.992e-05,0.0,0.0,0.0,0.0
-9.9918e-05,-8892.1,0.0,-859.79,0.0
-9.991600000000001e-05,0.0,0.0,0.0,-0.27181
-9.9914e-05,0.0,0.0,859.79,0.0
-9.9912e-05,0.0,2.3158,0.0,0.0
-9.991000000000001e-05,8892.1,2.3158,859.79,-0.27181
-9.9908e-05,0.0,0.0,0.0,-0.27181
-9.9906e-05,-8892.1,0.0,0.0,0.0
-9.990400000000001e-05,0.0,2.3158,0.0,-0.27181
-9.9902e-05,0.0,0.0,859.79,0.0
-9.99e-05,0.0,0.0,0.0,-0.27181
-9.989800000000001e-05,-8892.1,0.0,859.79,-0.27181
